#TIC Period t0 Duration Depth SNR Depth_even Depth_odd Depth_half
415969184 0.4737462123563547 0.265 0.2 128679.53100605687 8607254.306449696 152509.11199036654 105616.31031169595 19548.817599957503
89543393 0.47077237616307954 0.3125 0.085 164581.71746764754 8558551.170805437 164176.64729952323 164978.03986969366 134527.20337838223
204325855 0.48436322816193433 0.24500000000000002 0.08 170110.51772047122 8537323.744956851 170817.84282905416 169363.14623807397 203637.85067117037
261105201 0.47781649545067423 0.14500000000000002 0.2 127225.79372201125 8496617.020625457 105228.03345402377 149751.036515529 19877.07253031097
31653503 6.677729281482255 5.4799999999999995 0.2 368179.5138771827 8481430.241080249 370576.52719973086 365877.0064562407 211511.06962550076
197908268 0.9130566144946646 0.7125 0.165 163085.07952066578 8416830.502793634 162817.29845168043 163355.68984892595 70956.40164204325
393943031 0.44977113226979254 0.10250000000000001 0.085 152950.80197444235 8111640.173687049 152411.69303405497 153460.88429773634 186548.4359470129
280040060 1.2045508797897682 0.64 0.2 159611.28830095156 8066449.232941259 150693.4190837613 169812.93184290864 36097.34940335893
198037741 0.7800429913078517 0.365 0.13 159844.07924257134 8049706.69489086 159605.85453316974 160099.00725018128 109865.65665165606
300443831 0.42363650970897987 0.11 0.2 118344.97218108864 7988875.735179652 118638.5659265099 118061.33880505986 6931.445566917327
188594653 0.561081595457453 0.27249999999999996 0.065 179639.11920261921 7870922.101055412 194845.40596324697 165128.36663463002 18288.2772816261
149473467 1.094749604097615 0.1125 0.135 178156.0335884069 7852153.464025971 178821.62689774728 177546.4355531393 107673.09877101798
220521199 0.7287797752660325 0.4975 0.095 171743.25729699942 7756476.688715024 172073.51641108622 171386.87101744235 111330.30320853711
350622185 0.5843174967436519 0.32 0.11 143845.56618584637 7647223.370052982 142429.98482290268 145177.73919722094 65677.5292827363
70761941 0.5308382311631041 0.095 0.05 191936.24044236733 7632159.246975464 192087.45013349023 191792.12662501747 213375.8180880242
30531417 0.6579160415883628 0.325 0.15 133699.42780120822 7621949.318075284 132498.15136063076 134936.49431353764 188778.0215302447
179304342 0.5685139658622038 0.175 0.2 116611.44703026874 7533592.223218831 159870.26570162014 72442.0594456341 42788.48084464306
260131665 0.8362842146940421 0.71 0.2 129736.52192174713 7527483.376826898 145117.16669379605 115091.82547285594 31641.980611251918
254298146 0.77583687318973 0.5175 0.075 187423.25541251275 7522775.69635934 188087.44926614835 186773.0523384992 210266.58100546253
31796120 0.9970598690636742 0.8175 0.125 165966.07189657495 7478790.369825216 173930.21260447486 156714.0496987359 79375.10079060603
