#TIC Period t0 Duration Depth SNR Depth_even Depth_odd Depth_half
144462697 1.2341887639811073 0.14250000000000002 0.125 327887.21254910895 13489908.393664256 328044.4767786144 327681.11566154176 197321.28012100473
144194304 0.48346792665721045 0.0825 0.095 250836.51239525966 13418550.114544194 253511.95751663452 247992.2059431198 225112.5484786174
232063593 0.6173871299188265 0.2 0.2 212980.6321088249 13399430.316306291 145441.47785190275 277669.8421472703 33595.929322043645
126602778 0.7121432248339782 0.0675 0.115 268904.47284991783 13351403.76492797 269461.9305306417 268377.94412902277 197540.3718408131
201291281 0.40515996908952323 0.225 0.19 197418.87861288188 13262681.600514365 283670.06786240125 112979.10367716427 56786.392122177
197735761 0.6019633254815665 0.075 0.12 241678.3741061493 13019253.436936902 241139.71124209996 242213.4872972889 267145.0770707275
381857817 0.7024849792906246 0.4575 0.055 367936.65883891145 13006619.349599142 367370.5090596897 368505.3285726405 294828.6032522365
403136932 0.45429430044591557 0.07 0.05 304877.92312469264 12989014.552753447 278584.6514358504 332192.5470006523 46408.4918083897
99465976 0.6244283727253607 0.3175 0.095 267573.30633298535 12948384.550917594 266884.9117943711 268237.23766837904 192353.7995399035
231714759 5.461214299794929 2.93 0.2 503808.5989850656 12934055.759722222 503665.282575503 503911.3270380354 290074.01645711355
160036449 1.8931534706811286 1.625 0.16 339083.3892433852 12861970.335589152 338027.04629089794 340155.94206215115 207370.6650869657
358457398 1.1376200395389713 0.725 0.2 251950.13333395295 12731251.01038197 358676.0329628304 144528.043883622 103334.38686817331
117544915 1.4838935300926615 0.725 0.19 282932.38290605985 12665577.450329747 291678.4856589829 276643.05058935145 136590.91554572084
389476160 0.8145723714356473 0.4575 0.095 293562.1565859979 12616924.73828116 262624.08764849516 324441.0139083091 132738.11154957704
152223725 4.4358240956292025 3.575 0.2 444170.34240663936 12535259.129090456 438232.56488728896 456942.1657501483 263198.3105134313
267043786 0.5948277849949181 0.335 0.11 237080.4969669404 12408873.681453934 236065.6513124264 238131.56518262584 303163.43193283764
25373148 13.886181528768988 5.6525 0.055 1959826.5659346797 12381322.486986225 0.0 1959826.5659346792 675015.3204677423
91369561 3.986476589110021 0.88 0.2 422864.9595320263 12228861.674288584 421789.31242839486 423448.0734882053 233753.13490056543
44623916 0.9446843394484243 0.7949999999999999 0.13 262743.69540013094 12126355.118289191 263126.2287531076 262345.328713008 149570.13566099355
30317282 1.3985143261007762 0.66 0.2 249961.72184626083 11643270.131072003 246240.78913816327 253939.0600896165 62220.7510175567
394006752 0.4548265837688789 0.395 0.05 270986.99842230976 11412181.697541261 271393.37328110775 270558.8609552131 186357.6096328138
126945917 0.6703730395642421 0.2975 0.165 191497.55666998777 11159250.812581144 278291.43528108386 103195.9002121954 81921.69472559023
212347311 29.180006012202735 12.49 0.18 1054105.754162191 11021796.921846611 0.0 1054105.75416219 494990.3372272448
147083089 0.5441358794893032 0.36250000000000004 0.055 266900.73313819116 10874844.96685166 251592.71951895757 281929.8226078779 39347.71334026832
206537272 0.48935425462038573 0.105 0.09 209220.33263600056 10839432.731724778 209105.246299218 209335.278623592 263701.25339271623
263078276 0.4260342973652465 0.1 0.05 248871.937771459 10824123.730363665 273533.32742432295 226573.84011727318 30612.741301082024
141606986 0.5157902989974894 0.23 0.05 266459.6598025152 10728216.63115062 292628.60596588015 240694.6444509339 49567.981388367545
355651035 0.5842019952858094 0.455 0.11 199471.69895405957 10522128.529408352 199506.70254428382 199436.4909036119 248439.62660713322
141268467 2.0908130521081567 0.8825000000000001 0.135 321993.80399458384 10510331.932195298 315252.6440163785 328723.1165914565 148759.93883358748
30275777 16.95863072726206 2.645 0.2 624698.4801344876 10480811.313855115 551502.2576635437 698925.6353162896 265152.30358221516
201176965 1.3640695261702962 1.225 0.14 248714.2860877837 10237363.513965935 248903.1236733792 248536.30569396782 156182.4879282954
33715938 1.4393482136362579 1.3624999999999998 0.135 249346.27173655055 10091083.337636925 249418.16398896862 249273.18526067075 128949.34689345397
32200310 0.5407206719004582 0.0825 0.055 240549.73298890554 9775009.429388758 223781.0266948139 257245.61102547726 34842.80962852498
31655792 0.41616836457241435 0.0625 0.075 188963.63829300168 9769565.402386429 189577.32751025204 188358.9189546872 237223.05956418836
152825521 0.7430752137822345 0.6475 0.065 251889.90319965876 9704848.745139016 250921.577131731 252896.9623103039 254673.69782770023
139699256 2.983755713629887 0.545 0.2 285829.86262553814 9421496.950778445 235541.77844603118 322111.78410023445 140395.01622784408
